run,opt_age_Ma
0,372.673367
1,372.673367
2,372.673367
3,372.673367
4,372.673367
5,372.673367
6,372.673367
7,372.673367
8,372.673367
9,372.673367
10,372.673367
11,372.673367
12,372.673367
13,372.673367
14,372.673367
15,372.673367
16,372.673367
17,372.673367
18,372.673367
19,372.673367
20,372.673367
21,372.673367
22,372.673367
23,382.718593
24,382.718593
25,382.718593
26,382.718593
27,382.718593
28,382.718593
29,382.718593
30,382.718593
31,382.718593
32,382.718593
33,382.718593
34,382.718593
35,382.718593
36,382.718593
37,382.718593
38,382.718593
39,382.718593
40,382.718593
41,382.718593
42,382.718593
43,382.718593
44,382.718593
45,382.718593
46,382.718593
47,382.718593
48,382.718593
49,382.718593
50,382.718593
51,382.718593
52,382.718593
53,382.718593
54,382.718593
55,382.718593
56,382.718593
57,382.718593
58,382.718593
59,382.718593
60,382.718593
61,382.718593
62,382.718593
63,382.718593
64,382.718593
65,382.718593
66,382.718593
67,382.718593
68,382.718593
69,382.718593
70,382.718593
71,382.718593
72,382.718593
73,382.718593
74,382.718593
75,382.718593
76,382.718593
77,382.718593
78,382.718593
79,382.718593
80,382.718593
81,382.718593
82,382.718593
83,382.718593
84,382.718593
85,382.718593
86,382.718593
87,382.718593
88,382.718593
89,382.718593
90,382.718593
91,382.718593
92,382.718593
93,382.718593
94,382.718593
95,382.718593
96,382.718593
97,382.718593
98,382.718593
99,382.718593
100,382.718593
101,382.718593
102,382.718593
103,382.718593
104,382.718593
105,382.718593
106,382.718593
107,382.718593
108,382.718593
109,382.718593
110,382.718593
111,382.718593
112,382.718593
113,382.718593
114,382.718593
115,382.718593
116,382.718593
117,382.718593
118,382.718593
119,382.718593
120,382.718593
121,382.718593
122,382.718593
123,382.718593
124,382.718593
125,382.718593
126,382.718593
127,382.718593
128,382.718593
129,382.718593
130,382.718593
131,382.718593
132,382.718593
133,382.718593
134,382.718593
135,382.718593
136,382.718593
137,382.718593
138,382.718593
139,382.718593
140,382.718593
141,382.718593
142,382.718593
143,382.718593
144,382.718593
145,382.718593
146,382.718593
147,382.718593
148,382.718593
149,382.718593
150,382.718593
151,382.718593
152,382.718593
153,382.718593
154,382.718593
155,382.718593
156,382.718593
157,382.718593
158,382.718593
159,382.718593
160,382.718593
161,382.718593
162,382.718593
163,382.718593
164,382.718593
165,382.718593
166,382.718593
167,382.718593
168,382.718593
169,382.718593
170,382.718593
171,382.718593
172,382.718593
173,382.718593
174,382.718593
175,382.718593
176,382.718593
177,382.718593
178,382.718593
179,382.718593
180,382.718593
181,382.718593
182,382.718593
183,382.718593
184,382.718593
185,382.718593
186,382.718593
187,382.718593
188,382.718593
189,382.718593
190,382.718593
191,382.718593
192,382.718593
193,382.718593
194,382.718593
195,382.718593
196,382.718593
197,382.718593
198,382.718593
199,382.718593
