age_ma,goodness
1.000000,0.48319328
11.060403,0.48319346
21.120805,0.48319656
31.181208,0.48322332
41.241611,0.48337875
51.302013,0.48398655
61.362416,0.48558250
71.422819,0.48837830
81.483221,0.49161945
91.543624,0.49408622
101.604027,0.49531038
111.664430,0.49570443
121.724832,0.49578752
131.785235,0.49581147
141.845638,0.49590817
151.906040,0.49636188
161.966443,0.49774313
172.026846,0.50046216
182.087248,0.50407002
192.147651,0.50796438
202.208054,0.51301796
212.268456,0.52063025
222.328859,0.52966599
232.389262,0.53683752
242.449664,0.54051398
252.510067,0.54172387
262.570470,0.54197925
272.630872,0.54201381
282.691275,0.54201681
292.751678,0.54201681
302.812081,0.54201681
312.872483,0.54201681
322.932886,0.54201681
332.993289,0.54201681
343.053691,0.54201681
353.114094,0.54201681
363.174497,0.54202206
373.234899,0.54208254
383.295302,0.54252944
393.355705,0.54464676
403.416107,0.55107859
413.476510,0.56360609
423.536913,0.57925105
433.597315,0.59177855
443.657718,0.59820476
453.718121,0.60025727
463.778523,0.60022535
473.838926,0.59801728
483.899329,0.59113128
493.959732,0.57770896
504.020134,0.56094725
514.080537,0.54753357
524.140940,0.54070616
534.201342,0.53874009
544.261745,0.53918084
554.322148,0.54091432
564.382550,0.54320754
574.442953,0.54530190
584.503356,0.54716699
594.563758,0.54946792
604.624161,0.55280186
614.684564,0.55796159
624.744966,0.56608777
634.805369,0.57667452
644.865772,0.58657728
654.926174,0.59292170
664.986577,0.59566754
675.046980,0.59646402
685.107383,0.59661763
695.167785,0.59663716
705.228188,0.59663866
715.288591,0.59663866
725.348993,0.59663866
735.409396,0.59663866
745.469799,0.59663866
755.530201,0.59663866
765.590604,0.59663866
775.651007,0.59663866
785.711409,0.59663866
795.771812,0.59663866
805.832215,0.59663866
815.892617,0.59663866
825.953020,0.59663866
836.013423,0.59663866
846.073826,0.59663866
856.134228,0.59663866
866.194631,0.59663866
876.255034,0.59663866
886.315436,0.59663866
896.375839,0.59663866
906.436242,0.59663866
916.496644,0.59663866
926.557047,0.59663866
936.617450,0.59663866
946.677852,0.59663866
956.738255,0.59663866
966.798658,0.59663866
976.859060,0.59663866
986.919463,0.59663866
996.979866,0.59663866
1007.040268,0.59663866
1017.100671,0.59663866
1027.161074,0.59663941
1037.221477,0.59665029
1047.281879,0.59674231
1057.342282,0.59725999
1067.402685,0.59924960
1077.463087,0.60448571
1087.523490,0.61374643
1097.583893,0.62393743
1107.644295,0.62874090
1117.704698,0.62479204
1127.765101,0.61552237
1137.825503,0.60667564
1147.885906,0.60077646
1157.946309,0.59704137
1168.006711,0.59327936
1178.067114,0.58695859
1188.127517,0.57680240
1198.187919,0.56470520
1208.248322,0.55466399
1218.308725,0.54883270
1228.369128,0.54605670
1238.429530,0.54413223
1248.489933,0.54194920
1258.550336,0.53947337
1268.610738,0.53619738
1278.671141,0.53006720
1288.731544,0.51915174
1298.791946,0.50486809
1308.852349,0.49164348
1318.912752,0.48265151
1328.973154,0.47778375
1339.033557,0.47514557
1349.093960,0.47208884
1359.154362,0.46527375
1369.214765,0.45250231
1379.275168,0.43530001
1389.335570,0.41686102
1399.395973,0.39820752
1409.456376,0.38046094
1419.516779,0.36707606
1429.577181,0.35976714
1439.637584,0.35626833
1449.697987,0.35284881
1459.758389,0.34609033
1469.818792,0.33420712
1479.879195,0.31960545
1489.939597,0.30774228
1500.000000,0.30185082
