param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
delta_min,Flat-surface floor (delta_min),0.02,,3A,400,1,402,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.05,*,3A,400,1,402,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.08,,3A,400,1,402,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.1,,3A,400,1,402,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.15,,3A,400,1,402,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.02,,3B,400,1,403,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.05,*,3B,400,1,403,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.08,,3B,400,1,403,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.1,,3B,400,1,403,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.15,,3B,400,1,403,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.02,,3C,400,1,399,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.05,*,3C,400,1,399,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.08,,3C,400,1,399,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.1,,3C,400,1,399,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.15,,3C,400,1,399,1,1,1,400,400
delta_min,Flat-surface floor (delta_min),0.02,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.05,*,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.08,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.1,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.15,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.02,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
delta_min,Flat-surface floor (delta_min),0.05,*,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
delta_min,Flat-surface floor (delta_min),0.08,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
delta_min,Flat-surface floor (delta_min),0.1,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
delta_min,Flat-surface floor (delta_min),0.15,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
delta_min,Flat-surface floor (delta_min),0.02,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.05,*,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.08,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.1,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.15,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
delta_min,Flat-surface floor (delta_min),0.02,,5A,"500, 1500",1,1494,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,5A,"500, 1500",1,1494,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,5A,"500, 1500",1,1494,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,5A,"500, 1500",1,1494,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,5A,"500, 1500",1,1494,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.02,,5B,"500, 1500",1,1475,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,5B,"500, 1500",1,1475,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,5B,"500, 1500",1,1475,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,5B,"500, 1500",1,1475,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,5B,"500, 1500",1,1475,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.02,,5C,"500, 1500",1,1437,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.05,*,5C,"500, 1500",1,1437,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.08,,5C,"500, 1500",1,1437,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.1,,5C,"500, 1500",1,1437,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.15,,5C,"500, 1500",1,1437,1,2,0,1500,
delta_min,Flat-surface floor (delta_min),0.02,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.05,*,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.08,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.1,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.15,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
delta_min,Flat-surface floor (delta_min),0.02,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
