param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
f_p,Ensemble prominence (f_p),0.03,,1A,700,1,701,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.05,,1A,700,1,701,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.1,*,1A,700,1,701,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.15,,1A,700,1,701,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.2,,1A,700,1,701,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.03,,1B,700,1,697,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.05,,1B,700,1,697,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.1,*,1B,700,1,697,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.15,,1B,700,1,697,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.2,,1B,700,1,697,1,1,1,700,700
f_p,Ensemble prominence (f_p),0.03,,1C,700,1,681,1,1,0,700,
f_p,Ensemble prominence (f_p),0.05,,1C,700,1,681,1,1,0,700,
f_p,Ensemble prominence (f_p),0.1,*,1C,700,1,681,1,1,0,700,
f_p,Ensemble prominence (f_p),0.15,,1C,700,1,681,1,1,0,700,
f_p,Ensemble prominence (f_p),0.2,,1C,700,1,681,1,1,0,700,
f_p,Ensemble prominence (f_p),0.03,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_p,Ensemble prominence (f_p),0.05,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_p,Ensemble prominence (f_p),0.1,*,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_p,Ensemble prominence (f_p),0.15,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_p,Ensemble prominence (f_p),0.2,,2A,"300, 1800",2,"383, 1791",2,2,1,"300, 1800",1800
f_p,Ensemble prominence (f_p),0.03,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_p,Ensemble prominence (f_p),0.05,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_p,Ensemble prominence (f_p),0.1,*,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_p,Ensemble prominence (f_p),0.15,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_p,Ensemble prominence (f_p),0.2,,2B,"300, 1800",2,"423, 1784",1,2,0,1800,
f_p,Ensemble prominence (f_p),0.03,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
f_p,Ensemble prominence (f_p),0.05,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
f_p,Ensemble prominence (f_p),0.1,*,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
f_p,Ensemble prominence (f_p),0.15,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
f_p,Ensemble prominence (f_p),0.2,,2C,"300, 1800",2,"433, 1797",1,2,1,1800,1800
f_p,Ensemble prominence (f_p),0.03,,3A,400,1,402,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.05,,3A,400,1,402,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.1,*,3A,400,1,402,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.15,,3A,400,1,402,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.2,,3A,400,1,402,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.03,,3B,400,1,403,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.05,,3B,400,1,403,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.1,*,3B,400,1,403,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.15,,3B,400,1,403,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.2,,3B,400,1,403,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.03,,3C,400,1,399,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.05,,3C,400,1,399,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.1,*,3C,400,1,399,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.15,,3C,400,1,399,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.2,,3C,400,1,399,1,1,1,400,400
f_p,Ensemble prominence (f_p),0.03,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
f_p,Ensemble prominence (f_p),0.05,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
f_p,Ensemble prominence (f_p),0.1,*,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
f_p,Ensemble prominence (f_p),0.15,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
f_p,Ensemble prominence (f_p),0.2,,4A,"500, 1800",2,"553, 1827",2,2,0,"500, 1800",
f_p,Ensemble prominence (f_p),0.03,,4B,"500, 1800",2,"574, 1798",2,2,1,"500, 1800",1800
