param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
f_v,Valley merge depth (f_v),0.5,*,5B,"500, 1500",1,1475,1,2,0,1500,
f_v,Valley merge depth (f_v),0.65,,5B,"500, 1500",1,1475,1,2,0,1500,
f_v,Valley merge depth (f_v),0.8,,5B,"500, 1500",1,1475,1,2,0,1500,
f_v,Valley merge depth (f_v),0.2,,5C,"500, 1500",1,1437,1,2,0,1500,
f_v,Valley merge depth (f_v),0.35,,5C,"500, 1500",1,1437,1,2,0,1500,
f_v,Valley merge depth (f_v),0.5,*,5C,"500, 1500",1,1437,1,2,0,1500,
f_v,Valley merge depth (f_v),0.65,,5C,"500, 1500",1,1437,1,2,0,1500,
f_v,Valley merge depth (f_v),0.8,,5C,"500, 1500",1,1437,1,2,0,1500,
f_v,Valley merge depth (f_v),0.2,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.35,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.5,*,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.65,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.8,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.2,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.35,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.5,*,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.65,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.8,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.2,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.35,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.5,*,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.65,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.8,,6C,"500, 1500",2,"599, 1403",2,2,0,"500, 1500",
f_v,Valley merge depth (f_v),0.2,,7A,"500, 1500",1,1483,1,2,0,1500,
f_v,Valley merge depth (f_v),0.35,,7A,"500, 1500",1,1483,1,2,0,1500,
f_v,Valley merge depth (f_v),0.5,*,7A,"500, 1500",1,1483,1,2,0,1500,
f_v,Valley merge depth (f_v),0.65,,7A,"500, 1500",1,1483,1,2,0,1500,
f_v,Valley merge depth (f_v),0.8,,7A,"500, 1500",1,1483,1,2,0,1500,
f_v,Valley merge depth (f_v),0.2,,7B,"500, 1500",1,1457,1,2,0,1500,
f_v,Valley merge depth (f_v),0.35,,7B,"500, 1500",1,1457,1,2,0,1500,
f_v,Valley merge depth (f_v),0.5,*,7B,"500, 1500",1,1457,1,2,0,1500,
f_v,Valley merge depth (f_v),0.65,,7B,"500, 1500",1,1457,1,2,0,1500,
f_v,Valley merge depth (f_v),0.8,,7B,"500, 1500",1,1457,1,2,0,1500,
f_v,Valley merge depth (f_v),0.2,,7C,"500, 1500",1,1473,1,2,0,1500,
f_v,Valley merge depth (f_v),0.35,,7C,"500, 1500",1,1473,1,2,0,1500,
f_v,Valley merge depth (f_v),0.5,*,7C,"500, 1500",1,1473,1,2,0,1500,
f_v,Valley merge depth (f_v),0.65,,7C,"500, 1500",1,1473,1,2,0,1500,
f_v,Valley merge depth (f_v),0.8,,7C,"500, 1500",1,1473,1,2,0,1500,
