param,param_label,value,is_default,case,true_ages,n_peaks,peak_ages_str,n_recovered,n_true,n_covered,recovered_str,covered_str
r_min,Minimum supporting runs (r_min),10,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),15,,4C,"500, 1800",2,"604, 1737",2,2,0,"500, 1800",
r_min,Minimum supporting runs (r_min),3,,5A,"500, 1500",1,1494,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,5A,"500, 1500",1,1494,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,5A,"500, 1500",1,1494,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,5A,"500, 1500",1,1494,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,5A,"500, 1500",1,1494,1,2,0,1500,
r_min,Minimum supporting runs (r_min),3,,5B,"500, 1500",1,1475,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,5B,"500, 1500",1,1475,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,5B,"500, 1500",1,1475,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,5B,"500, 1500",1,1475,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,5B,"500, 1500",1,1475,1,2,0,1500,
r_min,Minimum supporting runs (r_min),3,,5C,"500, 1500",1,1437,1,2,0,1500,
r_min,Minimum supporting runs (r_min),5,*,5C,"500, 1500",1,1437,1,2,0,1500,
r_min,Minimum supporting runs (r_min),7,,5C,"500, 1500",1,1437,1,2,0,1500,
r_min,Minimum supporting runs (r_min),10,,5C,"500, 1500",1,1437,1,2,0,1500,
r_min,Minimum supporting runs (r_min),15,,5C,"500, 1500",1,1437,1,2,0,1500,
r_min,Minimum supporting runs (r_min),3,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),5,*,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),7,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),10,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),15,,6A,"500, 1500",2,"518, 1485",2,2,0,"500, 1500",
r_min,Minimum supporting runs (r_min),3,,6B,"500, 1500",2,"525, 1478",2,2,0,"500, 1500",
