method,phase,sample,tier,R,n_grid,elapsed_s,per_run_median_s,per_run_p95_s,rss_peak_mb,python,numpy
CDC,MC,8A,A,200,200,17.093,0.0832,0.0977,220.9,3.11.7,1.26.4
CDC,e2e_runtime,8A,A,200,200,17.464,,,223.9,3.11.7,1.26.4
CDC,MC,8B,B,200,200,17.2,0.0843,0.0941,347.6,3.11.7,1.26.4
CDC,e2e_runtime,8B,B,200,200,17.539,,,348.8,3.11.7,1.26.4
CDC,MC,8C,C,200,200,17.825,0.0876,0.0926,474.1,3.11.7,1.26.4
CDC,e2e_runtime,8C,C,200,200,18.172,,,476.1,3.11.7,1.26.4
