tier,method,n_assigned,mae,max_abs,coverage
A,CDC,4,16,18,67
A,DD,1,31,31,0
A,DD-PEAKS,3,31,61,17
B,CDC,4,25,43,50
B,DD,1,1,1,17
B,DD-PEAKS,3,11,21,50
C,CDC,3,63,97,0
C,DD,2,14,19,33
C,DD-PEAKS,4,20,101,33
All (A--C),CDC,11,25,97,39
All (A--C),DD,4,14,31,17
All (A--C),DD-PEAKS,10,20,101,33
