"column_label","Lower Intercept","Likelihood","n.lines","normalized.sum.likelihood","run.number"
"1",1e+06,199.314323567581,399,0.499534645532783,"1"
"1",1.1e+07,200.825758211591,398,0.504587332189926,"1"
"1",2.1e+07,202.361514355579,397,0.509726736412037,"1"
"1",3.1e+07,203.922184804856,396,0.514955012133476,"1"
"1",4.1e+07,205.508383187745,395,0.520274387817075,"1"
"1",5.1e+07,207.120744935814,394,0.525687169887853,"1"
"1",6.1e+07,208.759928322539,393,0.531195746367784,"1"
"1",7.1e+07,210.426615564607,392,0.536802590726038,"1"
"1",8.1e+07,212.121513990457,391,0.542510265960247,"1"
"1",9.1e+07,213.845357281064,390,0.548321428925806,"1"
"1",1.01e+08,215.598906788393,389,0.554238834931602,"1"
"1",1.11e+08,217.382952937426,388,0.560265342622231,"1"
"1",1.21e+08,219.198316718226,387,0.566403919168542,"1"
"1",1.31e+08,221.04585127506,386,0.572657645790311,"1"
"1",1.41e+08,222.926443600271,385,0.579029723637067,"1"
"1",1.51e+08,224.841016341286,384,0.585523480055433,"1"
"1",1.61e+08,226.79052972998,383,0.5921423752741,"1"
"1",1.71e+08,228.775983644453,382,0.598890009540452,"1"
"1",1.81e+08,230.798419814293,381,0.605770130746177,"1"
"1",1.91e+08,232.858924181489,380,0.612786642582867,"1"
"1",2.01e+08,234.958629430332,379,0.619943613272643,"1"
"1",2.11e+08,237.098717701065,378,0.627245284923451,"1"
"1",2.21e+08,239.280423503507,377,0.634696083563678,"1"
"1",2.31e+08,241.505036848591,376,0.642300629916467,"1"
"1",2.41e+08,243.77390661767,375,0.650063750980454,"1"
"1",2.51e+08,246.088444191551,374,0.657990492490777,"1"
"1",2.61e+08,248.450127363647,373,0.666086132342217,"1"
"1",2.71e+08,250.860504564341,372,0.674356195065433,"1"
"1",2.81e+08,253.321199426672,371,0.682806467457338,"1"
"1",2.91e+08,255.833915726953,370,0.691443015478251,"1"
"1",3.01e+08,258.400442737796,369,0.700272202541452,"1"
"1",3.11e+08,261.022661035498,368,0.709300709335592,"1"
"1",3.21e+08,263.70254880872,367,0.718535555337112,"1"
"1",3.31e+08,266.44218872121,366,0.727984122189099,"1"
"1",3.41e+08,269.243775387806,365,0.737654179144674,"1"
"1",3.51e+08,272.109623530509,364,0.747553910798102,"1"
"1",3.61e+08,275.04217688999,363,0.757691947355346,"1"
"1",3.71e+08,278.044017977786,362,0.768077397728691,"1"
"1",3.81e+08,281.117878765834,361,0.778719885777934,"1"
"1",3.91e+08,284.266652423145,360,0.789629590064292,"1"
"1",4.01e+08,287.49340622464,359,0.800817287533815,"1"
"1",4.11e+08,290.801395774868,358,0.812294401605777,"1"
"1",4.21e+08,294.194080709896,357,0.824073055209794,"1"
"1",4.31e+08,297.675142064699,356,0.836166129395223,"1"
"1",4.41e+08,301.248501521508,355,0.8485873282296,"1"
"1",4.51e+08,304.918342787645,354,0.861351250812555,"1"
"1",4.61e+08,308.689135390279,353,0.874473471360563,"1"
"1",4.71e+08,312.565661221611,352,0.887970628470486,"1"
"1",4.81e+08,316.553044222581,351,0.901860524850659,"1"
"1",4.91e+08,320.656783658194,350,0.916162239023411,"1"
"1",5.01e+08,324.882791515244,349,0.930896250760011,"1"
"1",5.11e+08,329.237434646336,348,0.946084582317057,"1"
"1",5.21e+08,333.727582396133,347,0.961750957913928,"1"
"1",5.31e+08,338.360660581122,346,0.977920984338503,"1"
"1",5.41e+08,343.144712858043,345,0.99462235611027,"1"
"1",5.51e+08,348.088470715199,344,1.01188508928837,"1"
"1",5.61e+08,353.201433562956,343,1.02974178881328,"1"
"1",5.71e+08,358.49396069447,342,1.04822795524699,"1"
"1",5.81e+08,363.977377246013,341,1.06738233796485,"1"
"1",5.91e+08,369.664096720536,340,1.0872473432957,"1"
"1",6.01e+08,375.56776316135,339,1.10786950785059,"1"
