"Lower Intercept","Likelihood","n.lines","normalized.sum.likelihood"
1e+06,1311.60042118471,399,3.28721910071355
1.1e+07,1331.01828047805,398,3.34426703637702
2.1e+07,1351.05987602057,397,3.4031734912357
3.1e+07,1371.75684886143,396,3.46403244661978
4.1e+07,1393.14312134869,395,3.52694461100934
5.1e+07,1415.25511331728,394,3.59201805410478
6.1e+07,1438.13198390635,393,3.65936891579223
7.1e+07,1461.81590268372,392,3.72912220072378
8.1e+07,1486.3523543792,391,3.80141267104654
9.1e+07,1511.79048227527,390,3.87638585198787
1.01e+08,1538.18347620172,389,3.95419916761366
1.11e+08,1565.58901216387,388,4.03502322722648
1.21e+08,1594.06975194773,387,4.11904328668664
1.31e+08,1623.69391264387,386,4.20646091358516
1.41e+08,1654.53591798891,385,4.29749589088027
1.51e+08,1686.67714582796,384,4.39238840059365
1.61e+08,1720.20678897575,383,4.49140153779568
1.71e+08,1755.22285044839,382,4.59482421583347
1.81e+08,1791.83329865919,381,4.70297453716323
1.91e+08,1830.15741398287,380,4.81620372100756
2.01e+08,1870.32736545207,379,4.93490070040125
2.11e+08,1912.49006573255,378,5.05949752839298
2.21e+08,1956.80936457386,377,5.19047576810043
2.31e+08,2003.46865653132,376,5.32837408651946
2.41e+08,2052.67399911499,375,5.4737973309733
2.51e+08,2104.65786433409,374,5.62742744474356
2.61e+08,2159.68368225218,373,5.79003668164124
2.71e+08,2218.05138305031,372,5.96250371787717
2.81e+08,2280.10420912254,371,6.14583344776964
2.91e+08,2346.23715810208,370,6.341181508384
3.01e+08,2416.90754215017,369,6.54988493807633
3.11e+08,2492.64832454299,368,6.7735008819103
3.21e+08,2574.08514653211,367,7.01385598510113
3.31e+08,2661.95832485863,366,7.27311017720937
3.41e+08,2757.15164613416,365,7.55384012639497
3.51e+08,2860.7306119576,364,7.85915003285054
3.61e+08,2973.99407174188,363,8.19282113427514
3.71e+08,3098.54521590153,362,8.55951717099871
3.81e+08,3236.39120416721,361,8.96507258772079
3.91e+08,3390.08615983289,360,9.41690599953581
4.01e+08,3562.94138322126,359,9.92462780841577
4.11e+08,3759.34194907804,358,10.5009551650225
4.21e+08,3985.23444069356,357,11.163121682615
4.31e+08,4248.89295893737,356,11.9350925812847
4.41e+08,4562.14032828213,355,12.8510995162877
4.51e+08,4942.28741346365,354,13.9612638798408
4.61e+08,5414.62071146981,353,15.3388688710193
4.71e+08,6009.50626341911,352,17.0724609756225
4.81e+08,6719.20570818569,351,19.1430362056572
4.91e+08,7342.53749230934,350,20.9786785494553
5.01e+08,7357.9734490115,349,21.083018478543
5.11e+08,6432.68518245778,348,18.4847275357982
5.21e+08,5154.298468673,347,14.8538860768674
5.31e+08,4297.1336691184,346,12.4194614714404
5.41e+08,3881.16204873749,345,11.2497450688043
5.51e+08,3614.25946219858,344,10.5065682040656
5.61e+08,3321.42495007537,343,9.68345466494276
5.71e+08,2934.64319449689,342,8.58082805408448
5.81e+08,2507.20752109185,341,7.35251472460953
5.91e+08,2159.73213706862,340,6.35215334431947
6.01e+08,1936.76104828725,339,5.71315943447566
6.11e+08,1801.02470073613,338,5.32847544596487
6.21e+08,1712.68838295617,337,5.08216137375719
6.31e+08,1650.51689330489,336,4.9122526586455
6.41e+08,1600.53766243343,335,4.77772436547294
6.51e+08,1553.23865487333,334,4.65041513435128
6.61e+08,1506.60579586345,333,4.52434172931967
6.71e+08,1465.92680652614,332,4.41544218833174
6.81e+08,1438.2198310019,331,4.34507501813262
6.91e+08,1425.95876586577,330,4.32108716929021
7.01e+08,1425.52086111961,329,4.33289015537876
7.11e+08,1430.08234473388,328,4.36000714857889
7.21e+08,1432.85854122912,327,4.38183040131231
7.31e+08,1428.6016751613,326,4.38221372748865
7.41e+08,1414.24682184176,325,4.35152868259002
7.51e+08,1389.51548888893,324,4.28862805212634
7.61e+08,1356.76284149431,323,4.20050415323315
7.71e+08,1319.29917224807,322,4.09720239828592
7.81e+08,1279.04100296624,321,3.98455141110977
7.91e+08,1235.5124635734,320,3.86097644866688
8.01e+08,1187.23722893331,319,3.72174679916397
8.11e+08,1134.2807233427,318,3.5669205136563
8.21e+08,1079.5603956064,317,3.40555329844291
8.31e+08,1027.73560345995,316,3.25232785905046
8.41e+08,982.691311207032,315,3.1196549562128
8.51e+08,945.642164639054,314,3.01159925044285
8.61e+08,915.016232494862,313,2.92337454471202
8.71e+08,887.735355854248,312,2.84530562773797
8.81e+08,860.753795105323,311,2.76769709037081
8.91e+08,832.033519908424,310,2.68397909647879
9.01e+08,800.818917133196,309,2.59164698101358
9.11e+08,767.468900221163,308,2.4917821435752
9.21e+08,733.118006858664,307,2.38800653699891
9.31e+08,699.305717764553,306,2.28531280315214
9.41e+08,667.623967842401,305,2.18893104210623
9.51e+08,639.417620555191,304,2.10334743603681
9.61e+08,615.582167538635,303,2.03162431530903
9.71e+08,596.492846685627,302,1.97514187644247
9.81e+08,582.061935126815,301,1.93376058181666
9.91e+08,571.878116383026,300,1.90626038794342
1.001e+09,565.36181765099,299,1.89084219950164
1.011e+09,561.884374369661,298,1.88551803479752
1.021e+09,560.833302967548,297,1.88832761941935
1.031e+09,561.63572704125,296,1.89741799676098
1.041e+09,563.760488699672,295,1.91105250406669
1.051e+09,566.708437754027,294,1.92757972025179
1.061e+09,569.985218100306,293,1.94534204129797
1.071e+09,573.049588344031,292,1.96249859021928
1.081e+09,575.253070161451,291,1.97681467409433
1.091e+09,575.825054667923,290,1.98560363678594
1.101e+09,573.977444569676,289,1.98608112307846
1.111e+09,569.160244796734,288,1.97625084998866
1.121e+09,561.387110583772,287,1.95605265011767
1.131e+09,551.439142624391,286,1.92810889029507
1.141e+09,540.761555898727,285,1.89740896806571
1.151e+09,531.034776857414,284,1.86984076358244
1.161e+09,523.62088676039,283,1.85025048325226
1.171e+09,519.175653590265,282,1.84104841698676
1.181e+09,517.597820597586,281,1.8419851266818
1.191e+09,518.267678298027,280,1.85095599392153
1.201e+09,520.384540724549,279,1.86517756532096
1.211e+09,523.227152983705,278,1.88211206109246
1.221e+09,526.270545772608,277,1.89989366704913
1.231e+09,529.189877589317,276,1.9173546289468
1.241e+09,531.813310058269,275,1.93386658203007
1.251e+09,534.067477289909,274,1.94915137697047
1.261e+09,535.929392918798,273,1.96311132937289
1.271e+09,537.381509887853,272,1.97566731576417
1.281e+09,538.365384561041,271,1.98658813491159
1.291e+09,538.737799995837,270,1.99532518516977
1.301e+09,538.244045178099,269,2.00090723114535
1.311e+09,536.529588810609,268,2.00197607765153
1.321e+09,533.207145194101,267,1.99703050634495
1.331e+09,527.977513818471,266,1.98487787149801
1.341e+09,520.773812465171,265,1.96518419798178
1.351e+09,511.873950244321,264,1.93891647819818
1.361e+09,501.923546161544,263,1.90845454814275
1.371e+09,491.840324558175,262,1.87725314716861
1.381e+09,482.621348891819,261,1.84912394211425
1.391e+09,475.119627019069,260,1.82738318084257
1.401e+09,469.870090959622,259,1.81417023536533
1.411e+09,467.019157304072,258,1.8101517724964
1.421e+09,466.363691481775,257,1.81464471393687
1.431e+09,467.462484587584,256,1.82602533042025
1.441e+09,469.766582682031,255,1.84222189287071
1.451e+09,472.725441088683,254,1.86112378381371
1.461e+09,475.850508400774,253,1.88083204901492
1.471e+09,478.740406788874,252,1.89976351900347
1.481e+09,481.083291011131,251,1.91666649805231
1.491e+09,482.651991833017,250,1.93060796733207
1.501e+09,483.300927105485,249,1.94096757873689
1.511e+09,482.965714691644,248,1.94744239795018
1.521e+09,481.660412922445,247,1.95004215758075
1.531e+09,479.465002695418,246,1.94904472640414
1.541e+09,476.497554957551,245,1.94488797941858
1.551e+09,472.87095830069,244,1.93799573074053
1.561e+09,468.641451554561,243,1.92856564425745
1.571e+09,463.76278651901,242,1.916375150905
1.581e+09,458.062531667032,241,1.90067440525739
1.591e+09,451.253614049832,240,1.8802233918743
1.601e+09,442.984689312533,239,1.85349242390181
1.611e+09,432.920114038109,238,1.81899207579037
1.621e+09,420.828995517319,237,1.77564977011527
1.631e+09,406.657890292238,236,1.72312665378067
1.641e+09,390.565768472254,235,1.66198199349895
1.651e+09,372.911610835022,234,1.59363936254283
1.661e+09,354.199816071994,233,1.52017088442916
1.671e+09,335.000620724323,232,1.44396819277725
1.681e+09,315.867722960729,231,1.36739274008974
1.691e+09,297.272405757583,230,1.29248872068514
1.701e+09,279.565135980836,229,1.22080845406478
1.711e+09,262.965944926186,228,1.15335940757099
1.721e+09,247.577445728583,227,1.09064954065455
1.731e+09,233.410848079131,226,1.03279136318199
1.741e+09,220.415574239163,225,0.979624774396282
1.751e+09,208.505665407727,224,0.930828863427355
1.761e+09,197.579483446685,223,0.886006652227285
1.771e+09,187.532081515621,222,0.84473910592622
1.781e+09,178.261484145072,221,0.806613050430191
1.791e+09,169.670934592509,220,0.771231520875039
1.801e+09,161.669172079221,219,0.738215397622012
1.811e+09,154.170324391635,218,0.707203322897407
1.821e+09,147.094345166779,217,0.677854125192528
1.831e+09,140.368306345257,216,0.649853270116931
1.841e+09,133.928391624839,215,0.622922751743437
1.851e+09,127.722160457232,214,0.596832525501086
1.861e+09,121.710547177337,213,0.571411019611913
1.871e+09,115.869089086552,212,0.546552307012037
1.881e+09,110.188003270852,211,0.522218024980342
1.891e+09,104.670922554094,210,0.498432964543305
1.901e+09,99.3323257657607,209,0.475274285960577
1.911e+09,94.1939220871316,208,0.452855394649671
1.921e+09,89.2804348420325,207,0.431306448512234
1.931e+09,84.6153396980096,206,0.41075407620393
1.941e+09,80.21712092392,205,0.391303028897171
1.951e+09,76.0965135445173,204,0.373022125218222
1.961e+09,72.2550200352762,203,0.355936059287075
1.971e+09,68.6847685892551,202,0.3400236068775
1.981e+09,65.3695654009423,201,0.325221718412648
1.991e+09,62.2868298641764,200,0.311434149320882
2.001e+09,59.4100162880276,199,0.298542795417224
2.011e+09,56.7111238927268,198,0.286419817640034
2.021e+09,54.1629635754556,197,0.274938901398252
2.031e+09,51.7409576964458,196,0.263984478043091
2.041e+09,49.424367339198,195,0.253458294047169
2.051e+09,47.1969448677425,194,0.243283220967745
2.061e+09,45.0470830420985,193,0.233404575347661
2.071e+09,42.9675713433602,192,0.223789434080001
2.081e+09,40.9550799833608,191,0.214424502530685
2.091e+09,39.0094814933644,190,0.205313060491391
2.101e+09,37.1330988075991,189,0.196471422262429
2.111e+09,35.3299455325408,188,0.187925242194366
2.121e+09,33.6050037093294,187,0.179705902188927
2.131e+09,31.9635689130328,186,0.171847144693725
2.141e+09,30.4106818675896,185,0.164382064149133
2.151e+09,28.9506586094471,184,0.157340535920908
2.161e+09,27.5867260642028,183,0.150747136962857
2.171e+09,26.3207654806469,182,0.144619590553005
2.181e+09,25.1531618228415,181,0.138967744877578
2.191e+09,24.0827528234946,180,0.133793071241637
2.201e+09,23.106867206842,179,0.129088643613642
2.211e+09,22.2214380321857,178,0.124839539506661
2.221e+09,21.4211746182565,177,0.121023585413878
2.231e+09,20.6997753708373,176,0.117612360061575
2.241e+09,20.050164130176,175,0.114572366458149
2.251e+09,19.464734243659,174,0.111866288756661
2.261e+09,18.935587140822,173,0.109454260929607
2.271e+09,18.454755324051,172,0.10729508909332
