"Lower Intercept","Likelihood","n.lines","normalized.sum.likelihood"
1e+06,1273.7520722332,399,3.19236108329124
1.1e+07,1291.45957353497,398,3.24487330033913
2.1e+07,1309.69414013425,397,3.29897768295781
3.1e+07,1328.4800890691,396,3.35474769966944
4.1e+07,1347.84331882998,395,3.41226156665817
5.1e+07,1367.81144398744,394,3.47160264971432
6.1e+07,1388.41394413148,393,3.5328599087315
7.1e+07,1409.68232896371,392,3.59612839021354
8.1e+07,1431.65032166381,391,3.66150977407623
9.1e+07,1454.35406298177,390,3.72911298200454
1.01e+08,1477.83233889712,389,3.79905485577665
1.11e+08,1502.12683514826,388,3.87146091533056
1.21e+08,1527.28242248486,387,3.94646620797121
1.31e+08,1553.34747715235,386,4.02421626205272
1.41e+08,1580.37424190491,385,4.10486816079197
1.51e+08,1608.41923379095,384,4.18859175466394
1.61e+08,1637.543706102,383,4.27557103420887
1.71e+08,1667.81417326861,382,4.36600568918483
1.81e+08,1699.30300918942,381,4.46011288501159
1.91e+08,1732.08913156827,380,4.55812929360072
2.01e+08,1766.25878741391,379,4.6603134232557
2.11e+08,1801.90645805995,378,4.7669483017459
2.21e+08,1839.13590606559,377,4.87834457842332
2.31e+08,1878.06139139258,376,4.9948441260441
2.41e+08,1918.80909063327,375,5.11682424168872
2.51e+08,1961.51876120777,374,5.24470257007425
2.61e+08,2006.34570292922,373,5.37894290329551
2.71e+08,2053.46308294473,372,5.52006205092669
2.81e+08,2103.06470789762,371,5.66863802667823
2.91e+08,2155.36835078321,370,5.82531986698164
3.01e+08,2210.61977161551,369,5.99083948947293
3.11e+08,2269.09761393528,368,6.16602612482414
3.21e+08,2331.11941816101,367,6.35182402768668
3.31e+08,2397.0490749893,366,6.54931441253908
3.41e+08,2467.30615828959,365,6.75974289942353
3.51e+08,2542.37774334101,364,6.98455423994783
3.61e+08,2622.83355580189,363,7.22543679284266
3.71e+08,2709.34563762345,362,7.48438021442941
3.81e+08,2802.71417492122,361,7.76375117706708
3.91e+08,2903.90164438349,360,8.06639345662081
4.01e+08,3014.07761641233,359,8.39575937719312
4.11e+08,3134.67505884698,358,8.75607558337145
4.21e+08,3267.45214252619,357,9.15252700987729
4.31e+08,3414.53359830054,356,9.59138651208018
4.41e+08,3578.36140192676,355,10.0798912730331
4.51e+08,3761.41134995753,354,10.6254557908405
4.61e+08,3965.45790317883,353,11.2335917937077
4.71e+08,4190.18416134652,352,11.9039322765526
4.81e+08,4431.16764609819,351,12.624409248143
4.91e+08,4677.76547543094,350,13.365044215517
5.01e+08,4911.93303059201,349,14.0743066779141
5.11e+08,5109.0271294152,348,14.6811124408483
5.21e+08,5240.86592916446,347,15.1033600264105
5.31e+08,5280.33301034245,346,15.2610780645736
5.41e+08,5206.8782008388,345,15.0924005821415
5.51e+08,5013.27975394593,344,14.5734876568196
5.61e+08,4713.04236098205,343,13.7406482827465
5.71e+08,4343.21170029393,342,12.6994494160641
5.81e+08,3955.44076928478,341,11.5995330477559
5.91e+08,3596.4507979188,340,10.5777964644671
6.01e+08,3290.45248392835,339,9.70634951011312
6.11e+08,3034.92896972391,338,8.97907979208257
6.21e+08,2809.07593058165,337,8.33553688599897
6.31e+08,2587.5744208919,336,7.70111434789254
6.41e+08,2354.0359318627,335,7.02697293093345
6.51e+08,2108.59348481559,334,6.31315414615446
6.61e+08,1864.71862990368,333,5.59975564535639
6.71e+08,1638.95772122694,332,4.93661964224983
6.81e+08,1443.93363717796,331,4.36233727244097
6.91e+08,1287.54062771175,330,3.90163826579318
7.01e+08,1172.40409636037,329,3.56353828680963
7.11e+08,1094.05472365391,328,3.33553269406679
7.21e+08,1042.31964357913,327,3.18752184580773
7.31e+08,1006.22058502295,326,3.08656621172683
7.41e+08,977.786860216105,325,3.00857495451109
7.51e+08,952.615398910213,324,2.94017098429078
7.61e+08,928.7274959927,323,2.8753173250548
7.71e+08,905.452008574149,322,2.81196275954705
7.81e+08,882.75804503947,321,2.75002506242826
7.91e+08,860.87235466345,320,2.69022610832328
8.01e+08,840.054775325485,319,2.63340054960967
8.11e+08,820.50006348628,318,2.58018887888767
8.21e+08,802.33431312524,317,2.53102306979571
8.31e+08,785.640810506394,316,2.48620509653922
8.41e+08,770.449520133,315,2.44587149248572
8.51e+08,756.677017146312,314,2.40979941766341
8.61e+08,744.078417211211,313,2.37724733933294
8.71e+08,732.300942485684,312,2.34711840540283
8.81e+08,721.059352499495,311,2.31851881832635
8.91e+08,710.326148414928,310,2.29137467230622
9.01e+08,700.373190060316,309,2.26657990310782
9.11e+08,691.60791801996,308,2.24548025331156
9.21e+08,684.336744487167,307,2.22910991689631
9.31e+08,678.661495381265,306,2.21784802412178
9.41e+08,674.580218252926,305,2.2117384205014
9.51e+08,672.159046530861,304,2.2110494951673
9.61e+08,671.578379163555,303,2.21643029426916
9.71e+08,672.978517112918,302,2.22840568580436
9.81e+08,676.191379019711,301,2.24648298677645
9.91e+08,680.503825199031,300,2.26834608399677
1.001e+09,684.558968798279,299,2.28949487892401
1.011e+09,686.454846414765,298,2.30353975306968
1.021e+09,684.076773804241,297,2.30328880068768
1.031e+09,675.64228822897,296,2.28257529807085
1.041e+09,660.306888987976,295,2.23832843724738
1.051e+09,638.556377408181,294,2.17196046737477
1.061e+09,612.14538584162,293,2.08923339877686
1.071e+09,583.573148387576,292,1.99853817940951
1.081e+09,555.361686082471,291,1.90845940234526
1.091e+09,529.494358762783,290,1.82584261642339
1.101e+09,507.214570072095,289,1.75506771651244
1.111e+09,489.1265360489,288,1.69835602794757
1.121e+09,475.393135295876,287,1.65642207420166
1.131e+09,465.864519137848,286,1.6288969200624
1.141e+09,460.106915471295,285,1.61441022972384
1.151e+09,457.405528684683,284,1.61058284748128
1.161e+09,456.830352122549,283,1.6142415269348
1.171e+09,457.398302569787,282,1.62197979634676
1.181e+09,458.287090508446,281,1.63091491284144
1.191e+09,458.999826332759,280,1.63928509404557
1.201e+09,459.379535659116,279,1.6465216331868
1.211e+09,459.444471815942,278,1.65267795617245
1.221e+09,459.130208971305,277,1.6575097796798
1.231e+09,458.109055330287,276,1.65981541786336
1.241e+09,455.835823398352,275,1.65758481235764
1.251e+09,451.831401751064,274,1.64901971441994
1.261e+09,446.045412713499,273,1.63386598063553
1.271e+09,439.062423237755,272,1.61420008543292
1.281e+09,432.00070490619,271,1.59409854208926
1.291e+09,426.144459963488,270,1.57831281467958
1.301e+09,422.510941610603,269,1.57067264539258
1.311e+09,421.572186741745,268,1.57303054754382
1.321e+09,423.231623283408,267,1.58513716585546
1.331e+09,427.001742920744,266,1.60526971022836
1.341e+09,432.246215487199,265,1.63111779429132
1.351e+09,438.367821741341,264,1.66048417326265
1.361e+09,444.896709808623,263,1.69162247075522
1.371e+09,451.498453317608,262,1.72327653938018
1.381e+09,457.946437214078,261,1.75458405062865
1.391e+09,464.094205819015,260,1.78497771468852
1.401e+09,469.862173423073,259,1.81413966572615
1.411e+09,475.235974061123,258,1.84199989946172
1.421e+09,480.266095528552,257,1.86873967131732
1.431e+09,485.058710921836,256,1.89476058953842
1.441e+09,489.752397817868,255,1.92059763850144
1.451e+09,494.481853359371,254,1.94677895023374
1.461e+09,499.335615761885,253,1.97365856032366
1.471e+09,504.318493632187,252,2.00126386361979
1.481e+09,509.329720399786,251,2.02920207330592
1.491e+09,514.164460580514,250,2.05665784232206
1.501e+09,518.539941595725,249,2.08248972528404
1.511e+09,522.139984671735,248,2.10540316399893
1.521e+09,524.66557759182,247,2.12415213599927
1.531e+09,525.876805106209,246,2.13771058986264
1.541e+09,525.614239646106,245,2.1453642434535
1.551e+09,523.795143643358,244,2.14670140837442
1.561e+09,520.388888602307,243,2.1415180600918
1.571e+09,515.383220104606,242,2.12968272770498
1.581e+09,508.755476376858,241,2.11101857417784
1.591e+09,500.459833287137,240,2.08524930536307
1.601e+09,490.434774310714,239,2.05202834439629
1.611e+09,478.62738389097,238,2.01103942811332
1.621e+09,465.025664524815,237,1.96213360558994
1.631e+09,449.688366542628,236,1.90545918026537
1.641e+09,432.763564548914,235,1.84154708318687
1.651e+09,414.491079281924,234,1.7713293986407
1.661e+09,395.188275488513,233,1.696087019264
1.671e+09,375.222594081972,232,1.61733876759471
1.681e+09,354.97673997283,231,1.53669584403823
1.691e+09,334.813458888061,230,1.45571069081766
1.701e+09,315.046268722476,229,1.37574789835142
1.711e+09,295.920606352229,228,1.2978973962817
