run,opt_age_Ma
0,1799.095477
1,1789.050251
2,1799.095477
3,1789.050251
4,1799.095477
5,1789.050251
6,1789.050251
7,1779.005025
8,1789.050251
9,1779.005025
10,1789.050251
11,1789.050251
12,1789.050251
13,1779.005025
14,1779.005025
15,1789.050251
16,1799.095477
17,1789.050251
18,1799.095477
19,1799.095477
20,1789.050251
21,1789.050251
22,1799.095477
23,1789.050251
24,1789.050251
25,1789.050251
26,1789.050251
27,1789.050251
28,1789.050251
29,1799.095477
30,1789.050251
31,1789.050251
32,1809.140704
33,1799.095477
34,1789.050251
35,1789.050251
36,1779.005025
37,1799.095477
38,1799.095477
39,1789.050251
40,1799.095477
41,1779.005025
42,1789.050251
43,1789.050251
44,1789.050251
45,1799.095477
46,1789.050251
47,1789.050251
48,1789.050251
49,1789.050251
50,1789.050251
51,1799.095477
52,1779.005025
53,1789.050251
54,1789.050251
55,1789.050251
56,1789.050251
57,1789.050251
58,1789.050251
59,1789.050251
60,1789.050251
61,1799.095477
62,1789.050251
63,1789.050251
64,1799.095477
65,1789.050251
66,1789.050251
67,1789.050251
68,1799.095477
69,1799.095477
70,1779.005025
71,1799.095477
72,1799.095477
73,1789.050251
74,1789.050251
75,1789.050251
76,1789.050251
77,1799.095477
78,1789.050251
79,1789.050251
80,1799.095477
81,1799.095477
82,1789.050251
83,1799.095477
84,1779.005025
85,1789.050251
86,1789.050251
87,1789.050251
88,1789.050251
89,1789.050251
90,1789.050251
91,1789.050251
92,1789.050251
93,1789.050251
94,1799.095477
95,1789.050251
96,1789.050251
97,1789.050251
98,1789.050251
99,1799.095477
100,1799.095477
101,1799.095477
102,1789.050251
103,1789.050251
104,1789.050251
105,1789.050251
106,1789.050251
107,1789.050251
108,1779.005025
109,1789.050251
110,1789.050251
111,1779.005025
112,1799.095477
113,1789.050251
114,1799.095477
115,1789.050251
116,1799.095477
117,1789.050251
118,1789.050251
119,1789.050251
120,1789.050251
121,1789.050251
122,1799.095477
123,1789.050251
124,1789.050251
125,1789.050251
126,1789.050251
127,1789.050251
128,1789.050251
129,1789.050251
130,1789.050251
131,1799.095477
132,1789.050251
133,1779.005025
134,1789.050251
135,1789.050251
136,1789.050251
137,1789.050251
138,1799.095477
139,1789.050251
140,1789.050251
141,1789.050251
142,1789.050251
143,1799.095477
144,1789.050251
145,1789.050251
146,1789.050251
147,1789.050251
148,1789.050251
149,1789.050251
150,1789.050251
151,1789.050251
152,1799.095477
153,1789.050251
154,1789.050251
155,1789.050251
156,1799.095477
157,1789.050251
158,1789.050251
159,1799.095477
160,1799.095477
161,1789.050251
162,1789.050251
163,1789.050251
164,1789.050251
165,1789.050251
166,1789.050251
167,1789.050251
168,1789.050251
169,1789.050251
170,1789.050251
171,1789.050251
172,1799.095477
173,1789.050251
174,1789.050251
175,1799.095477
176,1789.050251
177,1789.050251
178,1789.050251
179,1789.050251
180,1799.095477
181,1789.050251
182,1789.050251
183,1789.050251
184,1799.095477
185,1789.050251
186,1799.095477
187,1789.050251
188,1789.050251
189,1789.050251
190,1789.050251
191,1799.095477
192,1789.050251
193,1799.095477
194,1789.050251
195,1799.095477
196,1799.095477
197,1789.050251
198,1789.050251
199,1799.095477
