sample_id,tectonic_unit,region,analysis_type,closure_temperature_band,analysis_event_dated,analysis_age_ma,analysis_uncertainty_ma,analysis_uncertainty_confidence_level,latitude,longitude,pb_loss_kind,source_reference
PT09A-4,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1121.0,2.0,2sigma,-31.7695,116.24071,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT13A-7,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1130.0,2.0,2sigma,-31.87002,116.34944,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT12B-4,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1158.0,2.0,2sigma,-31.63055,116.27477,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT09A-5,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1244.0,2.0,2sigma,-31.7695,116.24071,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT13A-2,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1246.0,1.0,2sigma,-31.87002,116.34944,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT13A-3,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1257.0,1.0,2sigma,-31.87002,116.34944,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT09A-1,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1302.0,4.0,2sigma,-31.7695,116.24071,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
PT12B-1,Yilgarn Craton (western margin),Western Australia,Ar-Ar biotite,Ar-Ar biotite (~300 C),cooling age,1343.0,3.0,2sigma,-31.63055,116.27477,cooling,Lu et al. 2015 Precam Res 270 Tables 4 & 5
112140,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,494.0,4.0,95%,-33.877407,114.980281,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
112144A,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,495.0,2.0,95%,-33.660577,115.010161,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
112131,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,496.0,1.0,95%,-34.377587,115.135811,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
112134,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,497.0,2.0,95%,-34.255047,115.025591,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
112143,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,497.0,3.0,95%,-33.854077,114.987311,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
112132,"Pinjarra Orogen, Leeuwin Inlier",Western Australia,Ar-Ar hornblende,Ar-Ar hornblende (~500 C),cooling age,498.0,0.0,95%,-34.369477,115.136001,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
153995A,Officer Basin (Phase 2),Western Australia,K-Ar,K-Ar (~300 C),minimum crystallization age,393.0,8.0,2sigma,-28.240026,125.436819,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
153904,Officer Basin (Phase 2),Western Australia,K-Ar,K-Ar (~300 C),minimum crystallization age,484.0,8.0,2sigma,-27.053686,125.156689,cooling,GSWA Geochronology / GA SHRIMP (2022-04-02)
93867,Pinjarra Orogen,Western Australia,Rb-Sr biotite,Rb-Sr biotite (~320 C),cooling age,363.0,10.0,2sigma (estimated from analytical precision),-33.7667,115.1667,cooling,Libby & De Laeter 1998 AJES 45:4 Table 1
